Qty,Reference(s),Value,LCSC part number,Part number
2,"C1, C6",100p,C343033,C1608NP01H101JT000N
5,"C2, C7, C11, C16, C19",10u,C2922482,CL10A106MA8NRNC
2,"C3, C8",2.2u,C128507,ECWFD2W225J
2,"C4, C9",330p,C343002,C1608NP01H331JT000N
2,"C5, C10",2200u,C278533,EEUFR1E222S
3,"C12, C15, C18",47u,C76659,C3216X5R1E476MTJ00E
1,C14,470u,C193277,EEEFT1E471GP
1,C17,1u,C15849,CL10A105KB8NNNC
1,C20,100n,C2926846,PHE820ED6100MR06L2
1,D1,12V,C550177,BZT52-B12X
2,"D2, D3",D,C81598,1N4148W
1,D4,15V,C135138,SMCJ15A-13-F
1,D5,LED,C2927624,204-10SUGC/S400-A5
1,D6,0.55Vf,C134460,B520C-13-F
1,J1,L_In,C158012,B2B-XH-A
1,J2,R_In,C158012,B2B-XH-A
1,J3,HPOut,C368502,NMJ6HCD2
1,J4,AC_In,C160316,B3P-VH(LF)(SN)
1,J5,Switch,C158012,B2B-XH-A
1,K1,C93402,C128021,C93402
1,L1,100u,C2045491,SPM7054VT-101M-D
1,PS1,RAC20-15SK,N/A,RAC20-15SK
3,"Q1, Q4, Q7",BC850C,C549507,BC850C
3,"Q2, Q5, Q9",BC860C,C549546,BC860C
2,"Q3, Q6",BCP56TA,C177012,BCP56TA
1,Q8,AO3400A,C20917,AO3400A
2,"R1, R19",2.2k,,RT1206BRD072K2L
4,"R2, R20, R38, R39",392k,,RT1206BRD07392KL
2,"R3, R21",120k,C136888,RT1206BRD07120KL
2,"R4, R22",39.2k,,RT1206DRD0739K2L
4,"R5, R23, R41, R42",1k,C706405,RT1206BRD071KL
2,"R6, R24",1.4k,C870504,RT1206BRD071K4L
16,"R7, R8, R9, R10, R11, R12, R13, R14, R25, R26, R27, R28, R29, R30, R31, R32",133,,RT1206DRD07133RL
8,"R15, R16, R17, R18, R33, R34, R35, R36",100,,RT1206DRD07100RL
3,"R37, R40, R43",4.7k,C706416,RT1206BRD074K64L
2,"R44, R45",4.99,C326584,RT1206BRD074R99L
1,R46,1M,C375528,RT1206FRE071ML
1,RV1,50k,C470507,RK27112A00AK
2,"RV2, RV3",10k,C780232,3266W-1-104LF
1,RV4,500k,C125021,3362P-1-504
1,U1,TPS7A4701,C68214,TPS7A4701
,,,,
Additional,,,,
1,,IEC socket,N/A,DD11.0111.1111
1,,Fuse holder,N/A,4301.1405
1,,Power switch,C1788492,100SP1T1B1M1QEH
1,,JST VH plug,C157899,VHR-3N
3,,JST VH pins,C160349,SVH-21T-P1.1
3,,JST XH plug,C144401,XHP-2
6,,JST XH pins,C385122,SXH-001T-P0.6N
1,,RCA black,N/A,NYS367-0
1,,RCA red,N/A,NYS367-2
1,,30mm knob,N/A,N/A
1,,200mA slow blow,C178874,0218.200MXP
4,,M3 x 6,,Normal screw
5,,M3 x 6,,Countersunk screw
3,,14 x 14mm,C286220,Heatsink
1,,22 x 22mm,C286191,Heatsink
